aoa,cl,cd
19.5715,1.09907,0.00937243
18.2535,1.17761,0.00999606
17.3855,1.30683,0.01169859
16.3568,1.44424,0.0
13.2063,1.44435,0.0
11.2135,1.27108,0.01122757
10.153,1.17138,0.00992692
9.12462,1.06351,0.00909974
7.06816,0.855954,0.00750814
4.88353,0.620649,0.00646291
3.91979,0.527522,0.00620932
3.11686,0.413147,0.00589788
1.89618,0.320044,0.00573552
0.932747,0.202423,0.00559608
-1.12253,-0.011545,0.00579616
-2.24633,-0.137302,0.00593278
-3.04896,-0.233657,0.00627288
-4.04417,-0.347966,0.00647456
-4.97521,-0.439401,0.00673769
-6.13078,-0.571655,0.00709885
-8.21724,-0.772446,0.0080448
-10.3676,-0.983004,0.01025225
-12.2292,-1.11681,0.01357711
-14.2524,-1.11507,0.01353201
