aoa,cl
19.4267,1.0416
17.2756,1.16678
16.2984,1.59387
15.3638,1.5856
13.2306,1.44561
12.132,1.38396
11.1926,1.28391
9.40951,1.0671
8.21326,0.992071
7.1762,0.876984
6.3024,0.806936
5.03935,0.688504
4.16347,0.57673
2.80087,0.401551
2.22001,0.394882
1.01999,0.251388
0.14468,0.156276
-0.958319,0.0211103
-1.76867,-0.0623315
-2.96718,-0.16581
-4.03677,-0.270962
-4.91324,-0.386126
-5.88635,-0.496294
-6.92444,-0.614814
-7.99422,-0.718325
-8.96751,-0.828512
-10.1667,-0.935384
-11.0749,-1.02889
-12.9543,-1.17922
-14.0835,-1.14761
