aoa,cl,cd
17.5534,1.19223,0.01605756
16.4046,1.23495,0.0174487
15.4467,1.26621,0.0
14.4564,1.29748,0.0
13.4643,1.30586,0.0
12.3448,1.33063,0.0
11.3794,1.26045,0.0
10.4476,1.21808,0.01689934
9.32144,1.1479,0.014614
8.25757,1.04987,0.0120219
7.48179,0.94523,0.01027008
6.54634,0.855328,0.00814456
5.67746,0.811238,0.00744592
5.35397,0.765438,0.00706106
5.1923,0.744175,0.00693019
4.25677,0.660781,0.00646189
3.0952,0.557743,0.00605443
3.15934,0.5561,0.00605463
2.47747,0.418627,0.00607144
1.12223,0.305731,0.00607277
0.151585,0.179695,0.00597463
-0.819127,0.055277,0.00600254
-1.91944,-0.085535,0.00601319
-2.92163,-0.190348,0.00626679
-3.89243,-0.30664,0.00701971
-4.70258,-0.424577,0.00824217
-5.44557,-0.483579,0.00929622
-5.77004,-0.537639,0.00996019
-8.10036,-0.796604,0.01261992
-9.81671,-0.994988,0.0
