aoa,cl
24.5628,1.20595
22.2595,1.19009
20.4353,1.17739
18.2264,1.16965
16.5287,1.15855
14.4458,1.14588
12.3333,1.20662
10.2788,1.15643
8.22197,1.07521
7.06387,1.01177
6.16134,0.925427
4.03403,0.734798
2.0635,0.469017
1.06176,0.330393
0.030142,0.248877
-1.00352,0.121649
-2.19673,0.027055
-3.16567,-0.0822563
-5.13596,-0.297656
-6.17032,-0.424964
-8.07747,-0.651877
-10.3385,-0.859272
-12.0202,-1.0569
-14.2448,-1.11094
-16.1152,-1.14375
-18.2429,-1.13412
-19.1448,-1.09988
-20.2023,-0.88262
-22.3943,-0.794454
