aoa,cl,cd
13.3451,1.01992,0.0
12.2518,1.04764,0.0
11.5765,1.06558,0.0
10.4187,1.06884,0.0
9.26124,1.0232,0.0
8.42525,0.984071,0.0
7.36415,0.928634,0.0
6.46389,0.866672,0.008068
5.30663,0.757421,0.0070828
4.24564,0.669362,0.00649626
3.24931,0.548693,0.00583628
2.31728,0.432916,0.00555106
1.25623,0.341587,0.00439487
0.613354,0.268202,0.00408429
0.195593,0.211129,0.00394831
-0.318851,0.163831,0.00442247
-0.897606,0.110009,0.00498262
-1.76531,-0.005771,0.00516882
-3.91925,-0.238992,0.00583885
-4.69093,-0.315652,0.00624204
-5.84847,-0.431461,0.0
