cl,cd
1.42573,0.0197528
1.36386,0.0174957
1.29391,0.015745
1.20801,0.0136172
1.1157,0.0115048
0.901913,0.0097682
0.78701,0.00878488
0.689615,0.00821113
0.550672,0.00750607
0.459617,0.00714524
0.341399,0.00648919
0.229561,0.00566901
0.176852,0.00475039
0.045764,0.00460243
0.047362,0.00463524
-0.109325,0.00458562
-0.152502,0.00491361
-0.206873,0.00542199
-0.315604,0.00681589
-0.453104,0.00738962
-0.552228,0.0078978
-0.670539,0.00832396
-0.884743,0.0097993
-1.09887,0.012012
-1.29685,0.0154036
-1.37503,0.0170578
-1.42121,0.0187933
