aoa,cl
25.2686,1.51426
24.2146,1.53731
23.1284,1.53574
22.2337,1.51938
21.2113,1.50795
20.1885,1.47353
19.0383,1.4736
18.1115,1.45888
17.1208,1.44908
16.0659,1.40974
14.8516,1.41309
14.0526,1.40986
13.03,1.41977
12.1029,1.39519
11.016,1.37391
10.1207,1.33455
8.04163,1.20656
6.12172,1.02764
5.16188,0.957062
3.97767,0.837212
2.82545,0.727208
1.99273,0.599112
1.09616,0.485798
-1.11317,0.231234
-1.97798,0.112968
-2.84306,-0.0250217
-4.25161,-0.133426
-5.05271,-0.259932
-6.26969,-0.38479
-8.22399,-0.6329
-10.1782,-0.856386
-12.1001,-1.03223
