aoa,cl,cd
17.838,-0.068144,0.0
16.9354,-0.058737,0.0
16.0003,-0.047688,0.0
15.6448,-0.038257,0.0
15.3531,-0.025948,0.0
14.1297,-0.025174,0.0
12.9064,-0.026863,0.0
12.0372,-0.02854,0.0
11.0386,-0.028167,0.0
9.81495,-0.03109,0.0
7.94596,-0.03034,0.0
5.97946,-0.02795,0.0
3.98037,-0.027205,0.0
1.75448,-0.024001,0.0
-2.02217,-0.014687,0.0
-4.02399,-0.012294,0.0
-6.1558,-0.008671,0.0
-8.06179,-0.007507,0.0
-10.001,-0.004287,0.0
-11.0674,-0.004737,0.0
-12.0373,-0.003538,0.0
-12.9105,-0.001512,0.0
-14.2696,0.005848,0.0
-14.9828,0.018171,0.0
-15.6703,0.077009,0.0
