aoa,cl
18.3196,1.36289
17.2881,1.41539
16.3534,1.45476
14.2299,1.4432
13.1051,1.39554
12.3028,1.32817
11.2755,1.24929
10.2165,1.15068
9.06092,1.04547
8.06539,0.961613
6.10772,0.749481
4.11802,0.512611
3.15464,0.407298
2.06182,0.308527
1.00185,0.188364
0.069922,0.0895731
-2.0838,-0.137712
-2.53344,-0.198646
-3.01565,-0.25301
-4.04448,-0.369991
-6.20028,-0.585937
-8.13089,-0.798631
-8.90253,-0.905788
-10.1274,-0.996599
-11.0615,-1.08901
-12.1571,-1.18971
-12.8987,-1.24917
-14.2239,-1.2709
-15.0666,-1.22334
-16.151,-0.740998
