aoa,cd
24.2552,-0.09822275
22.2055,-0.08175475
20.2844,-0.071454
18.1081,-0.07142325
16.028,-0.071394
14.0442,-0.071366
12.0607,-0.0729815
9.9812,-0.07130875
7.96641,-0.0770315
6.81513,-0.07948
5.91973,-0.08111025
5.08819,-0.0806875
3.96885,-0.07985
1.92182,-0.0724275
-0.220543,-0.07034375
-2.20314,-0.06374475
-6.16755,-0.053013
-8.40498,-0.0496975
-10.067,-0.04639025
-12.208,-0.043898
-14.2213,-0.03771275
-16.2991,-0.02085308
-17.0978,-0.01920075
-18.2477,-0.01877558
-20.2007,0.04569825
-22.181,0.047362
-24.1624,0.0691385
