aoa,cd
15.1801,-0.11219825
14.3018,-0.05594875
13.1832,-0.0510145
12.2855,-0.0555255
11.2286,-0.05716125
10.2359,-0.0579765
9.11488,-0.0592015
8.18686,-0.05714225
7.35254,-0.06247675
6.13618,-0.060005
5.0797,-0.0579445
4.02208,-0.0591705
3.22143,-0.057933
2.13191,-0.05792625
1.13842,-0.05792
0.272892,-0.0583255
-0.848423,-0.056264
-1.93135,-0.03283225
-1.86735,-0.0332435
-3.02066,-0.02994675
-3.94728,-0.01884195
-4.74918,-0.01924623
-6.96285,-0.02046093
-7.95667,-0.0179859
-8.82054,-0.00975565
-10.0769,-0.02619125
