aoa,cl,cd
24.3817,0.952702,0.01177542
22.3558,1.0915,0.0198495
20.3616,1.18457,0.0
19.3001,1.35123,0.0
18.3671,1.36918,0.0
16.2437,1.37728,0.0
14.3457,1.34126,0.0
12.3514,1.27908,0.0
10.3256,1.16135,0.0
9.36091,1.1221,0.0
8.10714,1.0469,0.01519486
5.63225,0.893264,0.01007998
4.95737,0.852409,0.00680856
4.09035,0.749494,0.00576118
1.97144,0.506156,0.00569117
-0.211286,0.285755,0.00525576
-1.14159,0.17151,0.00581354
-1.33355,0.117667,0.00694181
-2.03959,0.057286,0.00746094
-6.20857,-0.383119,0.00914731
-8.38829,-0.604838,0.0106465
-10.1185,-0.790628,0.01331412
