aoa,cl
24.2535,1.06215
22.3241,1.3023
21.3271,1.51478
20.2331,1.54744
18.3669,1.54084
16.179,1.51951
14.2809,1.43443
12.158,1.34609
11.1288,1.30192
10.325,1.23652
9.23189,1.16621
8.13891,1.09101
6.11433,0.922681
4.99,0.81158
4.44375,0.775634
4.1227,0.733165
1.9714,0.509421
-0.114503,0.262913
-0.692195,0.207418
-1.20556,0.15193
-1.52607,0.0980843
-2.26425,0.039336
-6.33648,-0.412463
-8.38793,-0.621133
-10.2137,-0.836242
-12.4578,-0.994296
-13.1954,-1.03177
-13.7417,-1.01388
-14.0965,-0.952006
-16.3537,-0.61813
