aoa,cd
24.2573,-0.089152
22.2645,-0.07110975
20.3385,-0.0128328
19.1167,-0.0099721
18.377,-0.00956953
15.9011,-0.004259
13.9717,-0.00181646
11.9457,-0.00142775
10.0481,-0.00596435
7.89346,-0.00475593
5.93181,-0.0035454
3.8736,-0.0035676
2.10503,0.00010839
-0.1783,8.377e-05
-2.04332,0.00457985
-4.22995,0.0090725
-5.83795,0.00905518
-8.18569,0.00779818
-9.92228,0.00901118
-12.1738,0.00364953
-14.0389,0.0065034
-16.097,0.00976578
-18.0587,0.01261863
-18.9588,0.0199992
-20.3087,0.03681825
-20.9833,0.05200225
-22.0749,0.0914065
-24.2296,0.09261525
