aoa,cl,cd
24.334,1.23206,0.02514651
22.0637,1.45454,0.0
20.2705,1.4935,0.0
18.1565,1.50324,0.0
16.2342,1.47888,0.0
14.054,1.37171,0.0
12.1308,1.30026,0.02972201
9.91864,1.18498,0.02209775
8.05879,1.0697,0.01557568
6.84045,1.0015,0.01296846
5.9107,0.951173,0.01076668
5.0128,0.891099,0.00717887
3.92223,0.805049,0.00567283
1.80415,0.582615,0.00510206
-0.025614,0.365053,0.0047313
-1.27684,0.249781,0.00474244
-2.17607,0.12314,0.00533359
-3.04304,0.007866,0.0067655
-4.06963,-0.084674,0.00723585
-8.27384,-0.544128,0.00936882
-10.5519,-0.769786,0.0
-12.253,-0.966227,0.0
-14.3373,-1.11881,0.0
-15.2322,-1.05059,0.0
-16.3207,-1.05218,0.0
-18.5833,-0.587751,0.00975091
