aoa,cl
17.1171,0.854492
16.1177,0.945727
14.9869,0.961217
14.0761,0.997569
13.1002,1.01784
12.0903,1.01872
10.9836,1.01159
9.90737,1.01091
8.92211,0.967942
7.96875,0.949253
6.82067,0.888431
5.85886,0.780188
4.95967,0.675006
4.02776,0.576218
2.80596,0.466024
1.83852,0.358789
1.3546,0.310013
0.677413,0.254736
-0.164888,0.142241
-0.650786,0.0851371
-1.36326,0.0133112
-3.24606,-0.189519
-4.2867,-0.296067
-5.36221,-0.415914
-6.30828,-0.51457
-7.41638,-0.592023
-8.65697,-0.679507
-9.50594,-0.724199
-10.4511,-0.734368
-11.4942,-0.728089
-12.4405,-0.720123
-13.5193,-0.717139
-14.6622,-0.676162
