aoa,cl,cd
24.2203,1.01742,0.01879679
22.2684,1.07158,0.0
20.1812,1.54829,0.0
18.3267,1.51002,0.0
16.313,1.42716,0.0
15.1625,1.37416,0.0
14.3001,1.31295,0.0
12.1917,1.17892,0.0
10.3075,1.04164,0.01983535
8.10368,0.897713,0.01381934
6.38031,0.725825,0.01083173
4.24174,0.539039,0.00771661
2.23103,0.363842,0.0042335
0.061453,0.152344,0.0039871
-3.989,-0.282079,0.00776888
-5.83786,-0.508296,0.00894748
-8.00646,-0.719693,0.01057319
-9.98361,-0.907955,0.01259283
-12.0885,-1.09127,0.01556598
-13.9387,-1.22837,0.01934352
-14.8318,-1.29279,0.0
-16.0478,-1.22538,0.01926032
-17.8232,-0.523276,0.00906135
