aoa,cd
22.1504,-0.04734275
21.1612,-0.041648
20.2357,-0.04004275
19.5653,-0.033517
18.2244,-0.029059
16.1804,-0.02748875
14.1676,-0.02673575
12.1539,-0.0251635
10.1075,-0.02645925
8.12426,-0.0277535
7.22845,-0.03556875
5.94837,-0.03971025
4.98817,-0.0475305
4.09152,-0.0344445
1.81777,-0.04149075
-0.008631,-0.03171125
-2.12411,-0.02768
-3.11802,-0.02730225
-4.14418,-0.02774625
-4.94601,-0.02818275
-6.22922,-0.02781475
-8.28299,-0.02870275
-10.3055,-0.0287695
-12.2324,-0.029654
-14.4173,-0.02438738
-16.3137,-0.02075225
-18.5008,-0.00192405
-19.3698,0.01612835
