aoa,cl,cd
20.301,-0.125419,0.0
18.4248,-0.114439,0.0
17.3427,-0.068541,0.0
16.8972,-0.063637,0.0
16.1334,-0.047667,0.0
15.2422,-0.04278,0.0
14.2235,-0.041182,0.0
12.0584,-0.044148,0.0
10.3383,-0.045865,0.0
8.13966,-0.047603,0.0
6.22684,-0.043167,0.0
4.05835,-0.046547,0.0
1.9846,-0.047047,0.0
-0.122079,-0.043028,0.0
-1.94207,-0.042695,0.0
-3.95452,-0.039491,0.0
-5.93582,-0.036285,0.0
-8.01384,-0.03267,0.0
-10.1565,-0.033583,0.0
-12.0802,0.04289,0.0
-12.5921,0.040815,0.0
-13.1685,0.044911,0.0
-14.065,0.048174,0.0
