aoa,cl
20.4891,0.86883
18.5169,0.796428
16.4802,0.753563
15.4611,0.870121
15.0138,1.27267
14.44,1.39099
13.3889,1.3696
12.4334,1.30218
10.4903,1.15087
8.25978,0.979773
6.34783,0.765894
3.95694,0.543698
3.16014,0.430153
2.29913,0.354412
1.59727,0.318149
1.08714,0.250661
1.05523,0.249012
-0.061127,0.140324
-0.379928,0.0892985
-0.858279,0.0267358
-1.40065,-0.0226838
-2.03885,-0.073767
-4.11275,-0.299438
-6.18729,-0.513651
-8.23054,-0.714753
-10.4024,-0.904422
-11.0729,-0.98519
-12.357,-0.646564
-14.1829,-0.518578
