aoa,cd
16.9936,-0.14960475
15.4865,-0.15217925
14.7182,-0.1424045
13.5651,-0.131838
12.8941,-0.11221575
11.4845,-0.09633325
10.8778,-0.072598
9.91738,-0.05380375
9.14949,-0.03335125
7.8002,-0.041238
6.86873,-0.04417425
5.71271,-0.04384475
3.52905,-0.0390735
1.72976,-0.03960875
0.123348,-0.035206
-2.2236,-0.038652
-4.21697,-0.03591675
-6.01768,-0.03029325
-6.82131,-0.02254668
-8.20308,0.00117911
-9.0381,0.02494793
-10.0338,0.05569725
-10.7409,0.07250075
-11.5127,0.08724825
-12.7361,0.0933395
-13.6698,0.1002715
