aoa,cl,cd
24.3332,1.31921,0.01330744
20.3905,1.48576,0.0
18.5641,1.51049,0.0
16.3213,1.50108,0.0
15.36,1.48658,0.0
14.2705,1.4623,0.01620198
12.252,1.38761,0.0145937
10.2665,1.26391,0.01209965
9.27452,1.17591,0.01117792
8.18662,1.0683,0.01006843
7.12945,0.97859,0.00955199
6.26542,0.880671,0.00819373
5.43286,0.790882,0.0074345
4.66255,0.736994,0.0051442
2.13068,0.454283,0.00422095
0.623078,0.285818,0.00474789
0.077344,0.228545,0.00532077
0.045148,0.226907,0.00533548
-0.371911,0.176175,0.00562588
-0.917878,0.118876,0.00592138
-2.94327,-0.074429,0.00652532
-4.13211,-0.217,0.00676859
-4.99905,-0.339931,0.00730176
-6.09353,-0.449863,0.00777498
-7.12368,-0.561468,0.00833801
-8.15436,-0.671484,0.00911094
-10.1859,-0.868708,0.01040549
