aoa,cl
26.3899,1.08969
24.4059,1.15654
22.4781,1.33735
20.4579,1.42389
18.4398,1.43885
16.3257,1.41799
14.37,1.40198
12.3163,1.38597
11.2268,1.33719
10.3005,1.22964
9.34046,1.1449
8.15513,1.05524
7.06551,0.970431
6.23305,0.883938
5.6882,0.834968
5.30411,0.789251
4.05408,0.66512
2.16319,0.449382
1.07197,0.341437
0.590805,0.285816
-0.371741,0.172904
-0.918133,0.123782
-1.84874,0.00589813
-4.06785,-0.208805
-5.99745,-0.430193
-8.12264,-0.658371
-10.0562,-0.868666
-12.2215,-1.01856
-14.1351,-1.0504
-16.3188,-0.911708
-18.1807,-0.741613
