cl,cd
1.48102,0.0196151
1.45831,0.0154745
1.36548,0.014318
1.26171,0.0120516
1.17835,0.0112039
1.07573,0.0101112
0.968085,0.00949152
0.873523,0.00808761
0.772292,0.00728758
0.732738,0.00488577
0.661936,0.00452616
0.547561,0.00424813
0.434684,0.00421524
0.326597,0.00421506
0.271532,0.00493455
0.213286,0.00545786
0.151872,0.00573592
0.093663,0.0060631
-0.011314,0.00611231
-0.093837,0.00665232
-0.232832,0.00678354
-0.344504,0.00732389
-0.470766,0.00786447
-0.571182,0.00838873
-0.689504,0.00924069
-0.871079,0.0104209
