x,cz
-9.954,-0.95495
-9.9,-0.94986
-9.8,-0.94046
-9.7,-0.93102
-9.6,-0.92153
-9.5,-0.91198
-9.4,-0.90234
-9.3,-0.89261
-9.2,-0.88277
-9.1,-0.87283
-9,-0.86277
-8.9,-0.85259
-8.8,-0.8423
-8.7,-0.83189
-8.6,-0.82136
-8.5,-0.81072
-8.4,-0.79997
-8.3,-0.78914
-8.2,-0.77825
-8.1,-0.7673
-8,-0.75631
-7.9,-0.7453
-7.8,-0.73427
-7.7,-0.72323
-7.6,-0.7122
-7.5,-0.70118
-7.4,-0.69018
-7.3,-0.67922
-7.2,-0.6683
-7.1,-0.65742
-7,-0.64661
-6.9,-0.63588
-6.8,-0.62523
-6.7,-0.61468
-6.6,-0.60424
-6.5,-0.59394
-6.4,-0.58377
-6.3,-0.5737
-6.2,-0.56374
-6.1,-0.55385
-6,-0.54403
-5.9,-0.53425
-5.8,-0.52448
-5.7,-0.5147
-5.6,-0.50488
-5.5,-0.49499
-5.4,-0.48499
-5.3,-0.47483
-5.2,-0.46448
-5.1,-0.4539
-5,-0.44303
-4.9,-0.43185
-4.8,-0.42038
-4.7,-0.40865
-4.6,-0.39672
-4.5,-0.38462
-4.4,-0.37241
-4.3,-0.36014
-4.2,-0.34785
-4.1,-0.33557
-4,-0.32334
-3.9,-0.31119
-3.8,-0.29913
-3.7,-0.28719
-3.6,-0.27538
-3.5,-0.26369
-3.4,-0.25215
-3.3,-0.24074
-3.2,-0.22944
-3.1,-0.21824
-3,-0.20712
-2.9,-0.19607
-2.8,-0.18509
-2.7,-0.17416
-2.6,-0.16329
-2.5,-0.15246
-2.4,-0.14166
-2.3,-0.13091
-2.2,-0.12018
-2.1,-0.10947
-2,-0.09879
-1.9,-0.08812
-1.8,-0.07747
-1.7,-0.06682
-1.6,-0.05618
-1.5,-0.04554
-1.4,-0.03489
-1.3,-0.02424
-1.2,-0.01357
-1.1,-0.00288
-1,0.00782
-0.9,0.01855
-0.8,0.02931
-0.7,0.04009
-0.6,0.05091
-0.5,0.06176
-0.4,0.07266
-0.3,0.08359
-0.2,0.09458
-0.1,0.10561
-1.87905e-14,0.11669
0.1,0.12784
0.2,0.13904
0.3,0.15031
0.4,0.16164
0.5,0.17304
0.6,0.18451
0.7,0.19606
0.8,0.20767
0.9,0.21933
1,0.23102
1.1,0.24275
1.2,0.25448
1.3,0.2662
1.4,0.27791
1.5,0.2896
1.6,0.30124
1.7,0.31282
1.8,0.32434
1.9,0.33579
2,0.34714
2.1,0.3584
2.2,0.36954
2.3,0.38057
2.4,0.39146
2.5,0.40222
2.6,0.41283
2.7,0.4233
2.8,0.43366
2.9,0.44392
3,0.45409
3.1,0.4642
3.2,0.47424
3.3,0.48424
3.4,0.49421
3.5,0.50417
3.6,0.51412
3.7,0.52408
3.8,0.53405
3.9,0.54406
4,0.5541
4.1,0.56419
4.2,0.57434
4.3,0.58456
4.4,0.59486
4.5,0.60523
4.6,0.6157
4.7,0.62626
4.8,0.63689
4.9,0.6476
5,0.65835
5.1,0.66915
5.2,0.67997
5.3,0.69082
5.4,0.70167
5.5,0.71252
5.6,0.72335
5.7,0.73417
5.8,0.74495
5.9,0.75569
6,0.76639
6.1,0.77702
6.2,0.78759
6.3,0.79808
6.4,0.80848
6.5,0.8188
6.6,0.82901
6.7,0.83912
6.8,0.8491
6.9,0.85897
7,0.86869
7.1,0.87828
7.2,0.88775
7.3,0.89709
7.4,0.90632
7.5,0.91545
7.6,0.92448
7.7,0.93344
7.8,0.94232
7.9,0.95113
8,0.95989
8.1,0.9686
8.2,0.97727
8.3,0.98592
8.4,0.99454
8.5,1.00316
8.6,1.01177
8.7,1.0204
8.8,1.02906
8.9,1.03776
9,1.04651
9.1,1.05534
9.2,1.06425
9.3,1.07329
9.4,1.08245
9.5,1.09178
9.6,1.10126
9.7,1.11089
9.8,1.12069
9.9,1.13063
10,1.14073
10.1,1.15099
10.2,1.16139
10.3,1.17193
10.4,1.1826
10.5,1.19339
10.6,1.20427
10.7,1.21523
10.8,1.22622
10.9,1.23717
11,1.24803
11.1,1.25879
11.2,1.26944
11.3,1.28001
11.4,1.29051
11.5,1.30106
11.6,1.31186
11.7,1.32262
11.8,1.33098
11.9,1.33422
12,1.33213
12.1,1.32548
12.2,1.31356
12.3,1.29304
12.4,1.25015
12.5,1.15535
12.6,1.05629
12.7,0.99612
12.8,0.96181
12.9,0.93297
13,0.90844
13.1,0.88917
13.2,0.87494
13.3,0.86491
13.4,0.85758
13.5,0.85191
13.6,0.84723
13.7,0.84308
13.8,0.83917
13.9,0.83526
14,0.83136
14.1,0.8275
14.2,0.82373
14.3,0.82007
14.4,0.81655
14.5,0.81319
14.6,0.81002
14.7,0.80706
14.8,0.80431
14.9,0.80177
15,0.7994
15.1,0.79717
15.2,0.79507
15.3,0.79307
15.4,0.79115
15.5,0.7893
15.6,0.78749
15.7,0.78571
15.754,0.78474
